"","WOType","Borough","WOCategory","WOWoodRemains","WOWireConflict","CreatedDate"
"1","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/04"
"2","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"3","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"5","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/27"
"6","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/27"
"7","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"8","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"9","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"10","Misc Work","Staten Island","Misc Work","No Wood Debris","No Util Conflict Present","20/02/26"
"11","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"12","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/27"
"13","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"14","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/27"
"15","Tree Plant-Street Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"16","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"17","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"18","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"19","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/10"
"20","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"21","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"22","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/14"
"23","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"24","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/06"
"25","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"26","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"27","Hanging Limb","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/26"
"28","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"29","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/19"
"30","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"31","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"32","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"33","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"34","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"35","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"36","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"37","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"38","Hanging Limb","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"39","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"40","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"41","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"42","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"43","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"44","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"45","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"46","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"47","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/20"
"48","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"49","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"50","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"51","Hanging Limb","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/13"
"52","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/03"
"53","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"54","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"55","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"56","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"57","Pruning","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/24"
"58","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"59","Tree Removal","Queens","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/28"
"60","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/25"
"61","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"62","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"63","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"64","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"65","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"66","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
